iso_code,location,new_cases,new_deaths,total_cases,total_deaths,hospital_beds_per_thousand,life_expectancy,human_development_index,population,cases_per_million,deaths_per_million
IND,India,1.0,494.2134088762984,1.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0007056300926735049,231.04635600387272
IND,India,0.0,494.2134088762984,1.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0007056300926735049,231.04635600387272
IND,India,0.0,494.2134088762984,1.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0007056300926735049,231.04635600387272
IND,India,1.0,494.2134088762984,2.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0014112601853470098,231.04635600387272
IND,India,1.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
IND,India,0.0,494.2134088762984,3.0,327432.685202639,0.53,69.66,0.645,1417173120.0,0.0021168902780205143,231.04635600387272
